time,altitude,distance,grade,heartrate,cadence,velocity,lat,long,power
0,12,0.6413,-1.3,115,80,7.5,44.390015,8.991201,2.096707776
1,11.8,0.6489,-1.3,114,80,7.5,44.390049,8.991109,2.096707776
2,11.8,0.6568,-1.9,114,81,7.6,44.390086,8.991018,0
3,11.6,0.6647,-1.9,114,82,7.7,44.390127,8.990931,0
4,11.4,0.6727,-1.9,113,83,7.8,44.390164,8.990847,0
5,11.2,0.681,-0.6,113,85,7.9,44.390209,8.990768,58.64655453
6,11.2,0.6891,0,113,86,8,44.390258,8.990698,103.75904
7,11.4,0.6974,0.6,113,86,8.1,44.390333,8.990678,150.0052267
8,11.4,0.7055,0.6,114,85,8.2,44.390407,8.990664,153.9493731
9,11.4,0.7136,-0.6,114,84,8.2,44.39048,8.990648,67.07357688
10,11.4,0.7213,-1.3,114,83,8.1,44.390556,8.990629,14.1340224
11,11.2,0.7289,-0.7,114,79,8,44.390622,8.990604,54.31729756
12,11,0.7362,0,115,78,7.8,44.390688,8.990572,97.306404
13,11.2,0.7434,1.4,117,76,7.6,44.390746,8.990524,185.0757472
14,11.4,0.7503,2.9,118,75,7.3,44.390801,8.990468,269.2618358
15,11.6,0.7573,2.9,119,72,7.2,44.390846,8.990402,263.9384135
16,11.8,0.764,2.9,119,72,7,44.390884,8.990328,253.4933309
17,12,0.7708,2.2,120,71,6.9,44.390911,8.990252,205.771025
18,12.2,0.7777,1.5,121,72,6.9,44.390936,8.990174,163.1516217
19,12.2,0.7843,0.7,121,71,6.8,44.390957,8.990093,111.3089237
20,12.2,0.791,0,121,71,6.7,44.390979,8.99001,66.848647
21,12.2,0.7978,0,122,71,6.8,44.390997,8.989923,69.284384
22,12.2,0.8045,0.7,123,71,6.7,44.391013,8.98983,108.2551788
23,12.2,0.8111,1.5,124,71,6.7,44.39103,8.989743,155.5679872
24,12.4,0.818,2.2,125,70,6.7,44.391051,8.98966,196.9520454
25,12.6,0.825,2.1,126,71,6.8,44.391071,8.989576,195.3304781
26,12.8,0.832,2.1,127,73,6.8,44.391088,8.989491,195.3304781
27,12.8,0.8392,2.1,129,73,6.9,44.391108,8.989408,199.6836562
28,13,0.8467,2.7,130,75,7.1,44.391132,8.989326,246.1612347
29,13.2,0.854,4.1,131,77,7.2,44.391156,8.989243,340.0711306
30,13.6,0.8612,4.2,133,75,7.2,44.391178,8.98916,346.4107809
31,14,0.8683,3.5,134,75,7.3,44.391201,8.98908,307.8694065
32,14.2,0.8753,2.7,135,74,7.2,44.391222,8.988999,251.2407343
33,14.2,0.8824,1.4,136,73,7.1,44.391248,8.988919,164.7279662
34,14.4,0.8913,0,137,73,7.5,44.391274,8.988838,88.173975
35,14.4,0.8964,0,137,72,7,44.391301,8.988762,74.34826
36,14.2,0.9033,-0.8,138,72,7,44.391324,8.98868,24.90680925
37,14.2,0.9103,-0.7,137,72,7,44.391345,8.988595,31.08673536
38,14.2,0.9172,-0.7,137,73,7,44.391368,8.988513,31.08673536
39,14.2,0.9243,-1.4,137,73,6.6,44.39139,8.988428,0
40,14,0.9315,-2.1,138,74,7,44.391415,8.988347,0
41,13.8,0.9387,-2.7,138,74,7.1,44.391437,8.988262,0
42,13.6,0.9461,-2.7,138,76,7.2,44.391461,8.988176,0
43,13.4,0.9536,-2.6,137,78,7.3,44.391483,8.988079,0
44,13.2,0.9613,-2.6,136,79,7.4,44.391506,8.987987,0
45,13,0.9692,-1.9,135,81,7.5,44.391528,8.987889,0
46,12.8,0.9772,-1.9,135,84,7.7,44.391552,8.987793,0
47,12.8,0.9855,-2.4,135,84,7.9,44.391584,8.987692,0
48,12.6,0.9937,-3,135,84,8,44.391614,8.987589,0
49,12.2,1.0021,-3.6,135,0,8.2,44.391643,8.987488,0
50,11.8,1.0105,-4.1,135,0,8.3,44.391672,8.987388,0
51,11.6,1.019,-3.5,134,0,8.4,44.391702,8.987287,0
52,11.2,1.0275,-2.9,134,0,8.4,44.391733,8.987184,0
53,11,1.0361,-2.3,134,0,8.5,44.391765,8.987082,0
54,10.8,1.0447,-1.7,131,0,8.5,44.391803,8.986985,0
55,10.8,1.0538,-1.7,131,92,8.7,44.391834,8.986882,0
56,10.6,1.0627,-1.1,130,93,8.7,44.391871,8.986779,44.26670144
57,10.4,1.0718,-1.1,131,95,8.9,44.391909,8.986675,50.18698076
58,10.4,1.0809,-0.6,131,95,9,44.391941,8.986567,92.99902047
59,10.4,1.0897,0,131,94,9,44.391973,8.986459,140.67522
60,10.4,1.0985,-0.6,130,93,8.9,44.392004,8.98635,89.47271902
61,10.4,1.1075,-1.1,131,91,9,44.392039,8.986248,53.27186942
62,10.2,1.1161,-1.7,131,90,8.9,44.392074,8.986148,3.052078863
63,10,1.1247,-2.3,131,88,8.8,44.392111,8.986053,0
64,9.8,1.1332,-2.4,131,87,8.7,44.392151,8.985965,0
65,9.6,1.1416,-2.4,132,86,8.6,44.392193,8.985876,0
66,9.4,1.1499,-2.4,132,86,8.5,44.392235,8.98579,0
67,9.2,1.1581,-1.8,134,86,8.4,44.392276,8.985704,0
68,9,1.1664,-1.8,134,85,8.3,44.392313,8.985615,0
69,9,1.1747,-1.2,134,85,8.3,44.392346,8.985525,26.07104156
70,8.8,1.183,-0.6,134,85,8.3,44.392381,8.985437,70.03518832
71,8.8,1.1912,0,134,84,8.3,44.392417,8.98535,114.003239
72,8.8,1.1993,1.2,134,84,8.2,44.392454,8.985264,197.3813296
73,9,1.2076,1.8,137,84,8.2,44.392494,8.985178,240.8030737
74,9.2,1.2157,1.8,137,84,8.2,44.392535,8.985095,240.8030737
75,9.4,1.2237,0.6,137,83,8.1,44.392577,8.985012,150.0052267
76,9.4,1.2318,-0.6,139,83,8.1,44.392623,8.984933,64.18889143
77,9.2,1.2398,-1.2,139,82,8.1,44.392664,8.984853,21.28412169
78,9,1.2478,-1.9,139,82,8,44.392705,8.984771,0
79,9,1.2559,-1.2,139,82,8,44.392746,8.984688,19.00511476
80,8.8,1.2638,-0.6,139,82,8,44.392786,8.984604,61.38019598
81,8.8,1.2718,-0.6,139,82,8,44.392823,8.984518,61.38019598
82,8.8,1.2799,0,141,82,8,44.392865,8.984435,103.75904
83,8.8,1.2882,0,141,82,8.1,44.392909,8.984356,107.097471
84,8.8,1.2957,0,141,80,8,44.392951,8.984279,103.75904
85,8.8,1.3033,0,141,79,7.9,44.392992,8.984206,100.495663
86,8.8,1.3108,-0.7,141,77,7.8,44.393036,8.984132,49.10070512
87,8.8,1.3183,-0.7,141,76,7.7,44.393076,8.984059,46.6026499
88,8.6,1.3256,0,141,76,7.5,44.393109,8.983984,88.173975
89,8.6,1.3329,0,143,75,7.4,44.393142,8.983911,85.271828
90,8.8,1.3402,0.7,143,74,7.4,44.393169,8.98384,131.0044153
91,8.8,1.3472,0.7,142,73,7.3,44.393199,8.983767,127.5536984
92,8.8,1.3542,0.7,141,72,7.2,44.393235,8.983694,124.1714835
93,8.8,1.3611,1.5,141,72,7.1,44.393273,8.983626,170.9942882
94,9,1.3679,3,141,71,7,44.393307,8.983563,259.6649886
95,9.2,1.3745,3.1,141,70,6.9,44.39334,8.983497,260.5362145
96,9.6,1.3809,1.6,141,64,6.7,44.393372,8.983435,161.480992
97,9.6,1.3872,0,141,65,6.6,44.393404,8.983374,64.475796
98,9.4,1.3934,-0.8,140,64,6.5,44.393437,8.983313,16.25497645
99,9.2,1.3996,-0.8,139,64,6.3,44.393469,8.983251,13.22789332
100,9.4,1.4056,0.8,139,64,6.2,44.3935,8.983192,99.38441022
101,9.4,1.4115,3.4,138,61,6.1,44.39353,8.983132,236.5198304
102,9.6,1.4172,3.5,137,60,6,44.393563,8.983072,236.7920478
103,10,1.4229,3.6,137,58,5.9,44.393593,8.983013,236.9437917
104,10.2,1.4283,3.6,136,57,5.7,44.393622,8.982957,226.8389368
105,10.2,1.4338,3.7,135,56,5.6,44.393655,8.982903,226.8010654
106,10.4,1.4394,2.8,135,56,5.6,44.393686,8.982851,182.3783815
107,10.8,1.4447,4.7,134,55,5.5,44.393714,8.982798,270.2180677
108,10.8,1.4499,4.8,135,56,5.4,44.393744,8.982745,269.132945
109,11.2,1.4551,4.9,135,64,5.4,44.393771,8.982694,273.8830943
110,11.4,1.4601,6,136,64,5.3,44.393801,8.98264,319.1567868
111,11.8,1.465,5.1,137,62,5.1,44.393828,8.98259,265.1183902
112,12,1.4699,6.2,138,56,5,44.393856,8.982542,307.4462894
113,12.2,1.4748,6.2,138,56,5,44.393884,8.982495,307.4462894
114,12.6,1.4796,6.3,139,55,4.9,44.393911,8.982449,304.8364682
115,13,1.4845,6.2,139,55,4.9,44.393934,8.9824,300.5363446
116,13.2,1.4891,5.3,140,54,4.8,44.393959,8.982356,255.7268958
117,13.4,1.494,5.3,140,54,4.8,44.393984,8.982309,255.7268958
118,13.6,1.4986,5.3,141,54,4.8,44.39401,8.982259,255.7268958
119,14,1.5033,7.5,141,54,4.7,44.394035,8.98221,340.4085101
120,14.2,1.508,8.7,142,53,4.7,44.394059,8.982163,389.7043623
121,14.8,1.5126,7.7,143,53,4.7,44.394082,8.982121,348.634376
122,15.2,1.517,7.8,144,52,4.6,44.394107,8.982079,344.5692773
123,15.4,1.5215,5.6,144,51,4.6,44.394134,8.982037,255.8423241
124,15.6,1.526,4.4,146,51,4.5,44.394162,8.981993,202.1478711
125,15.8,1.5305,4.4,146,52,4.5,44.394186,8.981949,202.1478711
126,16,1.5351,4.3,147,52,4.5,44.394213,8.981906,198.1866235
127,16.2,1.5398,4.4,148,53,4.6,44.394235,8.981861,207.297064
128,16.4,1.5444,5.6,149,53,4.6,44.394254,8.981816,255.8423241
129,16.6,1.5487,5.7,149,52,4.5,44.394278,8.981774,253.5911852
130,17,1.553,5.7,150,49,4.5,44.394301,8.981731,253.5911852
131,17.2,1.5574,5.7,150,49,4.5,44.394321,8.981688,253.5911852
132,17.4,1.5618,4.5,151,50,4.4,44.39434,8.981642,200.9136694
133,17.6,1.5663,3.3,152,50,4.4,44.394362,8.981597,154.4093384
134,17.8,1.5709,3.2,152,52,4.4,44.394386,8.981552,150.531129
135,17.8,1.5757,3.1,153,54,4.5,44.394409,8.981508,150.6142425
136,18,1.5805,3,153,54,4.6,44.394434,8.981468,150.5629605
137,18.2,1.5857,3.4,153,56,4.8,44.394465,8.981432,175.4491809
138,18.4,1.5911,3.7,154,59,5,44.394501,8.981393,197.5140512
139,18.6,1.5991,3.6,154,63,5.6,44.394539,8.981352,221.8672663
140,18.8,1.6024,3.5,154,64,5.3,44.394582,8.981311,202.5940439
141,19,1.6082,2.9,155,66,5.5,44.394621,8.981259,183.0140564
142,19.2,1.6141,1.7,156,67,5.7,44.394659,8.981205,131.3338907
143,19.2,1.6201,1.7,156,68,5.8,44.394696,8.981145,134.6835601
144,19.2,1.6262,1.6,155,69,5.4,44.394734,8.981087,116.8368332
145,19.4,1.6324,1.6,155,70,6,44.394772,8.981028,136.2522636
146,19.6,1.6385,2.4,154,70,6.1,44.394808,8.980967,182.7364599
147,19.6,1.6447,1.6,155,71,6.1,44.394842,8.980902,139.6798777
148,19.8,1.651,0.8,153,71,6.2,44.394872,8.980833,99.38441022
149,19.8,1.6575,0.8,153,72,6.3,44.394896,8.980759,102.2213656
150,19.8,1.6638,0,152,72,6.3,44.394923,8.980687,57.725199
151,19.8,1.6701,0,152,72,6.3,44.394948,8.980612,57.725199
152,19.8,1.6765,0,154,72,6.4,44.394965,8.980535,59.915008
153,19.8,1.683,-0.8,155,73,6.4,44.394979,8.980459,14.71139588
154,19.8,1.6894,0,155,73,6.4,44.39499,8.980379,59.915008
155,19.6,1.6959,0,155,73,6.4,44.394994,8.980298,59.915008
156,19.8,1.7025,0,154,74,6.5,44.394994,8.980217,62.164895
157,19.8,1.7092,0.8,153,75,6.5,44.394992,8.980131,108.0736383
158,19.8,1.7157,0,152,75,6.5,44.394988,8.980045,62.164895
159,19.8,1.7223,0,152,75,6.6,44.394981,8.979961,64.475796
160,19.8,1.7288,0.8,152,74,6.6,44.394976,8.97988,111.0908277
161,19.8,1.7349,1.6,151,71,6.5,44.394971,8.9798,153.9723939
162,20,1.7409,2.6,150,68,6.3,44.394969,8.979726,202.2893494
163,20.2,1.7467,3.5,149,66,6.2,44.394965,8.979653,247.0558721
164,20.4,1.7523,3.6,149,64,6,44.394965,8.979583,242.0788482
165,20.6,1.7578,2.8,149,63,5.8,44.394962,8.979514,190.9649311
166,20.8,1.7632,3.8,149,61,5.7,44.394958,8.979447,236.8821693
167,20.8,1.7683,3.9,148,60,5.5,44.394954,8.979383,231.4836001
168,21.2,1.7734,3,148,58,5.3,44.39495,8.979322,179.2367164
169,21.4,1.7784,3,148,55,5.2,44.394946,8.979261,174.9986075
170,21.4,1.7833,2,148,56,5.1,44.394941,8.979199,125.8277843
171,21.4,1.7884,2,149,56,5,44.394935,8.979133,122.5684229
172,21.6,1.7932,3.1,149,56,5,44.394929,8.979068,171.0759083
173,21.8,1.798,4.1,149,55,4.9,44.394923,8.979009,210.0659962
174,22,1.8029,4.1,149,55,4.9,44.394918,8.97895,210.0659962
175,22.2,1.8078,4,149,56,4.9,44.394915,8.978889,205.7509684
176,22.4,1.8128,4,149,56,4.9,44.394915,8.978827,205.7509684
177,22.6,1.8179,4,149,57,4.9,44.394913,8.978766,205.7509684
178,22.8,1.8228,4.1,149,57,5,44.394909,8.978707,215.1296074
179,23,1.8276,5.3,149,55,4.9,44.394904,8.978645,261.8002704
180,23.2,1.8322,5.3,148,54,4.9,44.394899,8.978584,261.8002704
181,23.6,1.8369,4.3,148,53,4.8,44.394895,8.978528,213.500745
182,23.8,1.8417,5.3,148,53,4.8,44.394893,8.978477,255.7268958
183,23.8,1.8463,4.3,148,53,4.7,44.39489,8.978422,208.3521838
184,24.2,1.8509,3.3,148,52,4.7,44.39489,8.97837,166.9511508
185,24.4,1.8555,4.3,149,53,4.7,44.394891,8.978315,208.3521838
186,24.4,1.8601,2.2,149,52,4.6,44.39489,8.978259,118.1081173
187,24.6,1.8647,3.3,149,53,4.6,44.394888,8.978202,162.7276287
188,24.6,1.8693,5.4,149,52,4.6,44.394886,8.978145,247.7577889
189,25,1.8738,5.4,149,52,4.6,44.394883,8.978087,247.7577889
190,25.4,1.8785,6.4,149,53,4.6,44.39488,8.978028,288.1519229
191,25.6,1.8833,5.3,149,54,4.6,44.394876,8.977968,243.7145164
192,25.8,1.888,5.4,150,54,4.7,44.394868,8.977907,253.8297928
193,26,1.8925,5.5,150,53,4.6,44.394862,8.977847,251.8003955
194,26.4,1.8971,5.5,150,52,4.7,44.39486,8.977787,257.9602821
195,26.6,1.9016,6.7,151,51,4.6,44.394859,8.977729,300.2554019
196,26.8,1.9061,6.8,151,52,4.6,44.394856,8.977673,304.2882706
197,27.2,1.9105,6.8,152,50,4.5,44.394858,8.977624,297.0305732
198,27.6,1.9148,6.9,152,50,4.5,44.394852,8.977565,300.9749572
199,27.8,1.9192,6.9,153,50,4.4,44.394848,8.977504,293.6719008
200,28,1.9235,5.8,154,49,4.4,44.394844,8.977448,251.2059631
201,28.4,1.9278,5.8,154,50,4.3,44.394839,8.977392,244.9093997
202,28.6,1.9321,6.9,155,49,4.3,44.394839,8.977336,286.4102025
203,28.8,1.9364,5.8,156,49,4.3,44.394842,8.977281,244.9093997
204,29.2,1.9408,6.9,156,49,4.3,44.394845,8.977227,286.4102025
205,29.4,1.9451,6.9,156,49,4.3,44.39485,8.977173,286.4102025
206,29.8,1.9495,5.8,157,49,4.3,44.394854,8.977118,244.9093997
207,30,1.9538,5.8,156,49,4.3,44.394859,8.977067,244.9093997
208,30.2,1.9581,5.8,156,49,4.3,44.394864,8.977014,244.9093997
209,30.4,1.9624,7,157,49,4.3,44.394872,8.97696,290.1784921
210,30.8,1.9667,7,157,49,4.3,44.394883,8.97691,290.1784921
211,31.2,1.971,8.2,157,48,4.3,44.394893,8.97686,335.3324826
212,31.4,1.9752,7.1,157,49,4.3,44.3949,8.976809,293.9459822
213,31.8,1.9794,6,157,48,4.3,44.394909,8.97676,252.4614352
214,32,1.9835,5.9,157,47,4.2,44.394919,8.976711,242.3417928
215,32.2,1.9878,4.7,157,47,4.2,44.394931,8.976663,198.0387686
216,32.4,1.9921,5.7,157,47,4.2,44.394948,8.976614,234.9640722
217,32.6,1.9966,4,157,49,4.3,44.394966,8.976565,176.8317102
218,33,2.0011,3.2,157,51,4.3,44.394979,8.976512,146.52263
219,33,2.0076,3.1,157,51,4.8,44.394994,8.976461,162.756872
220,33,2.0107,2,157,56,4.6,44.395011,8.976408,109.991357
221,33.2,2.0162,3.1,156,61,4.8,44.395029,8.976346,162.756872
222,33.4,2.0216,2.8,156,52,5,44.395052,8.976285,157.8509406
223,33.6,2.0269,1.9,156,52,5.2,44.395076,8.976227,124.5468801
224,33.6,2.0322,1,156,41,4.9,44.395097,8.976175,76.11114792
225,33.6,2.0373,-1.1,156,41,5.3,44.395111,8.976116,0
226,33.6,2.0417,-1.2,155,41,5.1,44.395128,8.976062,0
227,33.4,2.0458,-1.3,154,0,4.8,44.395141,8.976012,0
228,33.4,2.0495,-3.6,154,0,4.5,44.39515,8.975965,0
229,33.4,2.0527,-5.8,153,0,4.1,44.395154,8.975928,0
230,33.2,2.0527,-2,152,0,3.1,44.395155,8.975913,0
231,33,2.0527,0,149,0,1.4,44.395154,8.975911,0
232,33,2.0527,0,148,0,0.6,44.395156,8.975915,0
233,33.2,2.0527,1.5,134,32,0,44.395141,8.975792,0
234,33.2,2.0558,3.1,133,44,0.2,44.395129,8.975745,6.055932333
235,33.4,2.0605,1.1,132,52,0.6,44.395106,8.975695,7.613280942
236,33.4,2.0658,0,132,57,0.9,44.395065,8.975651,2.745423
237,33.4,2.0715,-1.7,132,63,1.2,44.395024,8.975615,0
238,33.2,2.0777,-1.6,131,64,1.2,44.394975,8.975583,0
239,33,2.0843,-2.2,131,65,1.2,44.394923,8.975556,0
240,33,2.0911,-2.1,131,65,6.1,44.394862,8.975529,0
241,32.8,2.0983,-2.7,131,65,6.5,44.3948,8.975506,0
242,32.6,2.1058,-3.3,129,0,6.9,44.394736,8.975482,0
243,32.2,2.1135,-3.8,131,0,7.2,44.394668,8.975455,0
244,32,2.1216,-4.3,131,0,7.5,44.394598,8.97543,0
245,31.6,2.13,-4.1,129,0,7.8,44.394525,8.975409,0
246,31.2,2.1386,-4.6,127,0,8.1,44.394448,8.975385,0
247,30.8,2.1476,-3.9,124,0,8.4,44.39437,8.97536,0
248,30.4,2.1566,-2.7,122,0,8.6,44.394291,8.975335,0
249,30.2,2.1658,-2.1,121,0,8.8,44.394212,8.975309,0
250,30.2,2.1752,-2.1,120,0,9,44.394127,8.975282,0
251,30,2.185,-2.6,120,0,9.3,44.394043,8.975251,0
252,29.6,2.1948,-3.5,120,0,9.4,44.393957,8.975217,0
253,29.2,2.2048,-4.4,120,0,9.6,44.393872,8.975183,0
254,28.8,2.2153,-4.8,119,0,9.9,44.393784,8.975149,0
255,28.2,2.2257,-4.3,119,0,10.1,44.393695,8.975118,0
256,27.6,2.2362,-3.8,119,0,10.2,44.393603,8.975083,0
257,27.4,2.2471,-2.8,119,0,10.5,44.393511,8.975049,0
258,27.2,2.2576,-1.8,119,0,10.6,44.393418,8.975014,0
259,27,2.2687,-1.8,119,0,10.7,44.393325,8.974975,0
260,26.8,2.2797,-2.7,119,0,10.8,44.393232,8.974934,0
261,26.6,2.2907,-3.1,118,0,10.9,44.393137,8.974897,0
262,26,2.3018,-3.6,118,0,10.9,44.393038,8.974863,0
263,25.6,2.3133,-4,121,0,11.1,44.392938,8.974832,0
264,25.2,2.3246,-2.6,121,0,11.2,44.392836,8.974799,0
265,24.8,2.3359,-2.6,121,0,11.2,44.392733,8.974768,0
266,24.8,2.3474,-2.6,124,0,11.3,44.392629,8.974736,0
267,24.4,2.3589,-3.4,124,87,11.4,44.392525,8.974702,0
268,24,2.3706,-4.3,130,94,11.5,44.39242,8.974673,0
269,23.2,2.3823,-4.7,132,88,11.5,44.392314,8.97464,0
270,22.8,2.394,-5.1,132,88,11.6,44.392207,8.974612,0
271,22.2,2.406,-4.6,136,88,11.7,44.392099,8.97458,0
272,21.6,2.4181,-4.1,141,0,11.8,44.391991,8.974551,0
273,21,2.4301,-3.7,143,0,11.9,44.391883,8.974514,0
274,20.8,2.4424,-2.9,143,0,12,44.391775,8.974471,0
275,20.4,2.4547,-2.4,143,0,12.1,44.391667,8.974429,0
276,20.2,2.4669,-3.3,143,0,12.2,44.391559,8.974389,0
277,19.8,2.4791,-2.9,148,0,12.2,44.391451,8.974353,0
278,19.2,2.4914,-3.3,148,0,12.3,44.391344,8.974313,0
279,19,2.5033,-2.5,148,0,12.2,44.391238,8.974273,0
280,18.6,2.5153,-1.7,150,0,12.1,44.391135,8.974232,0
281,18.6,2.5269,-1.7,150,0,12,44.391035,8.974191,0
282,18.4,2.5386,-1.3,153,0,11.9,44.390932,8.974159,0
283,18.2,2.5505,-2.1,153,0,11.8,44.39083,8.974121,0
284,18,2.5625,-2.1,153,84,11.8,44.390727,8.974087,73.19474095
285,17.6,2.5745,-2.1,155,84,11.8,44.390621,8.97405,73.19474095
286,17.4,2.5867,-2.5,155,85,12,44.390516,8.974003,41.01830326
287,17.2,2.599,-2,155,85,12.1,44.390421,8.973926,99.29835542
288,16.8,2.6112,-2.5,155,86,12.1,44.390341,8.973821,45.91976545
289,16.6,2.6234,-2.5,157,85,12.2,44.390278,8.97369,50.93465765
290,16.2,2.6354,-2.1,157,85,12.2,44.390225,8.973554,93.98909461
291,16,2.6477,-2.1,158,85,12.2,44.39018,8.973416,93.98909461
292,15.8,2.6598,-1.6,160,85,12.2,44.39014,8.973269,147.8213764
293,15.6,2.672,-1.6,162,85,12.2,44.390107,8.973118,147.8213764
294,15.4,2.6842,-2.1,162,85,12.2,44.390082,8.972967,93.98909461
295,15.2,2.6962,-2.1,166,85,12.2,44.390064,8.972814,93.98909461
296,14.8,2.7085,-2.1,167,85,12.2,44.390057,8.972662,93.98909461
297,14.6,2.7205,-2.1,171,85,12.1,44.390058,8.972508,88.6212972
298,14.4,2.7326,-1.2,171,85,12.1,44.390071,8.972356,184.7339591
299,14.2,2.7448,-2.1,171,85,12.1,44.390087,8.972204,88.6212972
300,14.2,2.7567,-2.1,171,84,12.1,44.390112,8.972054,88.6212972
301,13.6,2.7688,-2.1,172,84,12.1,44.390136,8.971904,88.6212972
302,13.4,2.7808,-2.5,174,84,12.1,44.390158,8.971755,45.91976545
303,13.2,2.7926,-1.7,175,83,12,44.39018,8.971605,125.7256825
304,13,2.8045,-1.7,176,84,11.9,44.390201,8.971456,120.2308195
305,12.8,2.8162,-1.7,181,83,11.9,44.390222,8.971308,120.2308195
306,12.6,2.8277,-1.7,181,81,11.8,44.390242,8.971164,114.8475145
307,12.4,2.8391,-1.3,182,81,11.7,44.390261,8.97102,150.8825101
308,12.2,2.8504,-1.3,184,79,11.6,44.39028,8.970878,145.366456
309,12.2,2.8616,-0.9,184,78,11.4,44.390304,8.97074,174.9139321
310,12,2.8723,-0.5,184,77,11.2,44.390334,8.970607,203.4802545
311,12,2.8829,0,185,76,11,44.39037,8.970482,240.76778
312,12,2.8933,0,187,73,10.8,44.39041,8.970362,229.025664
313,12.2,2.9037,-0.5,188,72,10.7,44.390454,8.970246,176.0720296
314,12,2.9137,0,188,72,10.4,44.390497,8.970136,206.749088
315,11.8,2.9236,-0.5,188,79,10.3,44.390542,8.970028,155.9569336
316,12,2.9334,-0.5,188,79,10.1,44.390586,8.969919,146.4826216
317,12,2.943,0,188,78,9.9,44.390629,8.969811,181.090503
318,11.8,2.9524,-0.5,188,77,9.7,44.390671,8.969706,128.6630297
319,11.8,2.9617,-0.5,188,77,9.6,44.390714,8.969604,124.4378867
320,11.8,2.971,0.5,188,75,9.5,44.390755,8.9695,204.1772253
321,11.8,2.9803,0.6,189,74,9.4,44.390796,8.969402,207.5470537
322,12,2.9892,1.1,189,73,9.2,44.390838,8.969307,238.3839744
323,12,2.998,0.6,189,72,9.1,44.390879,8.969211,193.0206805
324,12.2,3.0068,-1.1,189,71,9,44.39092,8.969119,53.27186942
325,12,3.0155,-1.7,190,71,8.9,44.390959,8.969026,3.052078863
326,11.6,3.0242,-2.3,189,70,8.8,44.390997,8.968934,0
327,11.4,3.0329,-2.3,189,70,8.7,44.391035,8.968842,0
328,11.4,3.0414,-1.7,189,70,8.7,44.39107,8.968748,0
329,11.2,3.0501,-1.7,189,69,8.7,44.391107,8.968654,0
330,11,3.0586,-1.7,189,69,8.6,44.391146,8.968566,0
331,10.8,3.0673,-1.2,189,69,8.6,44.391183,8.968475,33.83772637
332,10.8,3.0758,-0.6,188,70,8.6,44.391218,8.96838,79.39093867
333,10.8,3.0844,0,186,72,8.6,44.391254,8.968287,124.948196
334,10.8,3.093,0.6,182,79,8.6,44.39129,8.96819,170.5045786
335,10.8,3.1016,0.5,182,78,8.6,44.391324,8.968094,162.9121177
336,11,3.1102,0.6,182,78,8.6,44.391354,8.967999,170.5045786
337,11,3.1239,0.6,182,78,9.6,44.391383,8.967903,217.6705324
338,11,3.1271,0.6,182,77,8.5,44.391409,8.967806,166.2471123
339,11,3.1354,1.3,182,76,8.5,44.391431,8.967709,218.7706332
340,11.2,3.1436,1.2,181,76,8.4,44.391451,8.96761,206.5606524
341,11.4,3.1544,1.2,181,76,8.8,44.391469,8.967511,225.872362
342,11.4,3.1603,1.8,178,76,7.3,44.391485,8.967412,198.4300491
343,11.4,3.1685,1.3,175,76,8.3,44.391499,8.967311,209.2581189
344,11.8,3.1766,1.2,175,75,8.2,44.39151,8.96721,197.3813296
345,11.8,3.1847,0.6,175,74,8.2,44.391522,8.967113,153.9493731
346,11.8,3.1928,-1.2,175,74,7.7,44.391534,8.967019,12.61467396
347,11.6,3.2008,-1.2,175,74,8.1,44.391537,8.966921,21.28412169
348,11.4,3.2089,-1.9,173,74,8.1,44.39154,8.966822,0
349,11.4,3.2168,-1.2,172,74,8,44.391545,8.966723,19.00511476
350,11.2,3.2249,-0.6,169,73,8,44.39155,8.966622,61.38019598
351,11.2,3.2331,-0.6,169,74,8.1,44.391545,8.966521,64.18889143
352,11.2,3.2412,0.6,169,74,8.1,44.391542,8.966421,150.0052267
353,11.2,3.2493,0.6,169,75,8.1,44.391545,8.96632,150.0052267
354,11.4,3.2576,1.2,169,75,8.2,44.391554,8.966217,197.3813296
355,11.4,3.2657,1.2,174,75,8.2,44.391571,8.966114,197.3813296
356,11.6,3.2739,0.6,176,75,8.2,44.391593,8.966017,153.9493731
357,11.6,3.2822,1.2,179,75,8.2,44.39162,8.965924,197.3813296
358,11.6,3.2902,1.2,179,75,8.2,44.391653,8.965836,197.3813296
359,11.8,3.2984,2.5,178,75,8.2,44.391692,8.96575,291.4426213
360,12,3.3065,3.7,178,75,8.2,44.391735,8.965667,378.18474
361,12.4,3.3145,3.1,178,74,8.1,44.39178,8.965588,328.6762245
362,12.8,3.3224,1.3,178,73,8,44.391828,8.965514,195.5709724
363,12.8,3.3304,-1.9,178,72,8,44.39188,8.965444,0
364,12.4,3.3382,-1.9,178,72,8,44.391935,8.965381,0
365,11.8,3.3461,-1.3,180,72,7.9,44.391993,8.965324,9.827608191
366,12.2,3.354,0.6,181,72,7.9,44.392051,8.96527,142.343968
367,12.4,3.3618,2.6,181,72,7.9,44.39211,8.965223,281.7745183
368,12.6,3.3695,0.7,181,70,7.8,44.39217,8.965181,145.5110231
369,12.6,3.377,-0.7,181,70,7.8,44.392231,8.965143,49.10070512
370,12.4,3.3845,-1.3,180,69,7.7,44.392294,8.965106,5.817665984
371,12.2,3.3919,-2,180,68,7.6,44.392356,8.965072,0
372,12.2,3.3995,-1.3,180,69,7.5,44.392416,8.965034,2.096707776
